goodsNo,goodsName,brandName,layer,collect_rank,review_count,grade_mean,text_len_mean,photo_rate,like_mean,top_proba_mean,spread_score,sticky_score,irritate_score,first_review_rate,price,saleRate,reviewScore
561732,데일리 라이트핏 선젤 50ml,다슈,B_oliveyoung_cross,216,58,4.862068965517241,36.06896551724138,0.41379310344827586,0.017241379310344827,0.5258489837626218,3.1551724137931036,3.1724137931034484,3.1379310344827585,0.8103448275862069,11900,52,96
1155196,알로에 수딩 선 크림 SPF50+ PA+++,코스알엑스,C_potential,230,116,4.879310344827586,41.83620689655172,0.4396551724137931,0.08620689655172414,0.4942489809148547,3.0775862068965516,3.0689655172413794,3.086206896551724,0.8793103448275862,11500,10,98
1207369,UV쉴드 선크림 50ml 남자선크림,미프,B_oliveyoung_cross,849,2,5.0,35.0,0.0,0.0,0.6399874798381304,4.0,4.0,4.0,0.5,16900,23,100
1223308,선샤인 유브이 솔루션 스틱 SPF50+ PA++++ 20g,엠도씨,B_oliveyoung_cross,549,20,5.0,44.8,0.45,0.05,0.5200393806241104,3.1,3.0,3.0,0.85,19800,10,96
1223310,선샤인 유브이 솔루션 크림 SPF50+ PA+++ 70ml,엠도씨,B_oliveyoung_cross,395,42,4.9523809523809526,34.714285714285715,0.2857142857142857,0.0,0.5361791105806597,3.1904761904761907,3.1904761904761907,3.1904761904761907,0.9285714285714286,18000,10,98
1296289,솔루션 시카 쉴드 선스틱 19g,다슈,B_oliveyoung_cross,282,83,4.855421686746988,36.83132530120482,0.3493975903614458,0.03614457831325301,0.5236229347969772,3.0240963855421685,3.0240963855421685,3.0240963855421685,0.9518072289156626,13400,26,98
1484666,오리진 세이프 마일드 선블록 SPF50+/PA++++ 50ml,에이트루,C_potential,588,16,4.9375,46.8125,0.625,0.0,0.5339343527102923,3.0625,3.125,3.25,0.875,11900,62,98
1491184,셀러스 선 젤 플러스,라곰,C_potential,268,44,4.9772727272727275,48.11363636363637,0.45454545454545453,0.0,0.4663924154467855,3.0454545454545454,3.090909090909091,3.090909090909091,0.9090909090909091,21900,16,98
1533215,플러스 선블럭 SPF50+ PA+++ 25ml,우르오스,B_oliveyoung_cross,276,33,4.909090909090909,32.15151515151515,0.48484848484848486,0.030303030303030304,0.5389809543697096,3.0606060606060606,3.0606060606060606,3.0606060606060606,0.7575757575757576,16430,17,98
1537344,하이드로 선 에센스  50ml,무슈제이,B_oliveyoung_cross,795,5,5.0,67.8,0.2,0.0,0.4440663416089217,3.0,3.0,3.0,1.0,21000,19,98
1654903,엔조이 슈퍼 마일드 선 에센스 50ml 2개,싸이닉,A_top50,23,563,4.900532859680284,45.08880994671403,0.6163410301953819,0.023090586145648313,0.556199381899608,3.325044404973357,3.1953818827708704,3.266429840142096,0.7708703374777975,17880,15,98
1890474,유브이 디펜스 미 카밍 선스틱 20g,메이크프렘,C_potential,654,36,4.722222222222222,58.77777777777778,0.4444444444444444,0.027777777777777776,0.5143637132118423,3.0,3.0555555555555554,3.0555555555555554,0.9444444444444444,20800,13,96
1892727,유브이 디펜스 미 카밍 선크림 기획세트 50ml+20ml,메이크프렘,C_potential,338,82,4.804878048780488,54.6219512195122,0.4634146341463415,0.036585365853658534,0.5011967415538197,3.048780487804878,3.073170731707317,3.048780487804878,0.926829268292683,20500,15,96
1901801,[유기자차]선뮤즈 모이스처 선크림 50ml (SPF50+/PA++++),비플레인,C_potential,260,82,4.865853658536586,45.84146341463415,0.43902439024390244,0.024390243902439025,0.4754775312135975,3.1219512195121952,3.073170731707317,3.097560975609756,0.8780487804878049,18200,30,98
2015301,마인드풀 버블 비건 클렌저,체이싱래빗,C_potential,378,48,4.916666666666667,206.79166666666666,0.6041666666666666,0.10416666666666667,0.38371216468743463,3.125,3.125,3.125,0.8958333333333334,13900,27,98
2034681,데일리 화이트닝 수분진정 선크림 (SPF50+/PA++++) 50ml,브리올옴므,B_oliveyoung_cross,610,7,4.571428571428571,38.857142857142854,0.42857142857142855,0.0,0.5006100981583214,3.142857142857143,3.0,3.0,1.0,17900,0,94
2203949,썬 모이스처라이저 50ml  SPF50+ PA+++,나인위시스,B_oliveyoung_cross,340,38,4.7631578947368425,276.6578947368421,0.8947368421052632,0.07894736842105263,0.24957134351703747,3.0,3.0,3.0,1.0,15400,30,94
2244406,"에코 선 모이스처라이저 100g[ 대용량 l 백탁,눈시림NO ]",닥터바이오,B_oliveyoung_cross,578,56,4.892857142857143,83.46428571428571,0.5,0.017857142857142856,0.4573044918709659,3.25,3.142857142857143,3.1785714285714284,0.9821428571428571,16910,15,98
2296955,데일리 유브이 컷 골프 패치,다슈,B_oliveyoung_cross,523,7,5.0,38.0,0.2857142857142857,0.0,0.5887763197540884,3.2857142857142856,3.2857142857142856,3.2857142857142856,0.7142857142857143,13800,8,100
2344405,잡티 토닝 썬스크린 50ml + 50ml,셀퓨전씨,A_top50,24,297,4.878787878787879,49.053872053872055,0.4983164983164983,0.04040404040404041,0.565915308428119,3.323232323232323,3.1818181818181817,3.2626262626262625,0.8787878787878788,32000,59,98
2397667,클래식 골프 선스틱 SPF50+PA++++ 18.5g,스콧해미쉬,B_oliveyoung_cross,766,9,5.0,55.44444444444444,0.3333333333333333,0.0,0.5302046335561844,3.0,3.0,3.0,0.8888888888888888,20400,32,100
2397669,클래식 골프 선크림 SPF50+PA++++ 40ML,스콧해미쉬,B_oliveyoung_cross,721,10,5.0,38.6,0.4,0.0,0.5128300683309394,3.2,3.2,3.2,1.0,20400,32,98
2410719,레드 블레미쉬 수딩 업 선 50mL,닥터지,C_potential,311,98,4.918367346938775,41.47959183673469,0.3469387755102041,0.04081632653061224,0.47643915123370056,3.020408163265306,3.020408163265306,3.020408163265306,0.9693877551020408,16900,42,98
2413758,클래식 골프 선크림 SPF50+ PA++++ 2종 기획 세트,스콧해미쉬,B_oliveyoung_cross,705,2,5.0,45.5,0.0,0.0,0.639931733194801,5.0,4.0,4.0,1.0,40200,33,100
2413759,클래식 골프 선스틱 SPF50+ PA++++ 2종 기획 세트,스콧해미쉬,B_oliveyoung_cross,720,3,4.666666666666667,34.666666666666664,0.0,0.0,0.6336647270419306,4.333333333333333,4.333333333333333,4.333333333333333,0.6666666666666666,40200,33,94
2415039,프리미엄 썬 프로텍션 크림 SPF50+ PA+++ 60ml,닥터올가,C_potential,298,49,4.8979591836734695,57.91836734693877,0.673469387755102,0.02040816326530612,0.5316701047482492,3.204081632653061,3.122448979591837,3.163265306122449,0.8163265306122449,28500,25,98
