goodsNo,goodsName,brandName,price,saleRate,reviewCount,reviewScore,collect_rank,layer
5754009,워터풀 마일드 선크림 50ml+50ml,달바,34900,49,30,98,140,B_oliveyoung_cross
3083772,UV 쉴드 선 프로텍터 50ml SPF50+/PA++++,아이오페,32300,15,264,96,160,B_oliveyoung_cross
2494640,파데프리 선크림 50mlx2개 (+미니어처15ml 증정),마녀공장,31000,45,108,96,207,C_potential
3198635,맑은 어성초 진정 무기자차 선크림 (24AD) 50ml,구달,19800,10,962,96,208,C_potential
561732,데일리 라이트핏 선젤 50ml,다슈,11900,52,139,96,216,B_oliveyoung_cross
4672264,익모초 유브이 톤업 선크림 SPF50+/PA++++,어테이션,23700,36,93,98,217,C_potential
5192350,수분 선크림 히알루론 선 캐쳐 40ml,뉴니스,17900,36,71,98,219,C_potential
3496697,마다가스카르 센텔라 히알루-시카 실키핏 선 스틱 20g,스킨1004,17000,15,58,98,220,C_potential
4572192,그린프로폴리스 올커버리선 40ml,씨케이디 개런티드,13900,47,84,98,223,C_potential
3083740,UV쉴드 에센셜 톤업 50ml,아이오페,32300,15,160,98,224,B_oliveyoung_cross
3360122,[2pack] 캘리포니아 알로에 보송 선스틱 SPF50+ PA++++,네이처리퍼블릭,28900,44,85,98,228,C_potential
3262901,인텐시브 롱래스팅 선스크린 EX SPF 50+ PA4+ 60mL 2개,이니스프리,24000,50,99,98,229,C_potential
1155196,알로에 수딩 선 크림 SPF50+ PA+++,코스알엑스,11500,10,220,98,230,C_potential
4973634,워터인 피치 라이트 선크림 60ml (SPF 50+ PA++++) + 퍼밍 켈프 3종 (1.5ml x 3) 7매 증정,본 어글리,18900,30,95,98,232,C_potential
4237647,[2개] 올 어라운드 세이프 블록 아쿠아 선크림 50ml,미샤,20400,40,61,98,233,C_potential
4924341,내츄럴 라이트 선 톤업 50ml,그라운드랩,25000,0,34,98,237,B_oliveyoung_cross
4628448,어성초 그린 톤업 크림,헤이네이처,27000,10,53,98,238,C_potential
3381828,유브이 디펜스 미 워터리 캡슐 선크림 50ml,메이크프렘,19500,19,85,98,244,C_potential
3271752,히알루론 수분 선크림 SPF50+ PA4+ 50mL,이니스프리,19600,30,121,98,247,C_potential
5245232,선포켓 오일컷스틱 15g 노세범,그라펜,24000,48,9,94,248,B_oliveyoung_cross
5800925,수분광 올데이 선세럼 50ml,어덴비,24800,20,53,100,251,C_potential
5611823,[2 PACK] 선포켓 오일컷스틱 15g 노세범 (+매치업 톤업로션 10ml 증정),그라펜,34460,60,17,100,255,B_oliveyoung_cross
4042713,선데이 노세범 선크림 50ml [SPF50+/PA++++],에딧비,17500,30,110,98,257,C_potential
3939060,DMT 썬스크린 어드밴스드 30ml (PA4+),피지오겔,12900,30,59,98,258,C_potential
3896210,그린플라 비건 진정 선크림 40ml [SPF50+/PA++++],더랩바이블랑두,17200,31,112,96,259,C_potential
1901801,[유기자차]선뮤즈 모이스처 선크림 50ml (SPF50+/PA++++),비플레인,18200,30,142,98,260,C_potential
4506422,맨 컴파운드 선스크린 50ml,아이오페,28000,0,43,100,267,B_oliveyoung_cross
1491184,셀러스 선 젤 플러스,라곰,21900,16,99,98,268,C_potential
5010385,에어핏 선 피니싱 스틱 02 클리어 그린 (본품+키링),프레비츠,16000,50,62,100,273,C_potential
1533215,플러스 선블럭 SPF50+ PA+++ 25ml,우르오스,16430,17,47,98,276,B_oliveyoung_cross
3939070,DMT 썬스크린 어드밴스드 30ml (PA4+) 2개+추가증정,피지오겔,22900,38,84,98,281,C_potential
1296289,솔루션 시카 쉴드 선스틱 19g,다슈,13400,26,126,98,282,B_oliveyoung_cross
3094725,브라이트닝 업 모이스처 선 50mL,닥터지,19850,38,104,98,284,C_potential
4426280,히알루론 하이드레이팅 선크림 50ml,마녀공장,18200,30,59,98,288,C_potential
3496369,데일리 수분 선크림,오브제,17900,20,49,96,289,B_oliveyoung_cross
2415039,프리미엄 썬 프로텍션 크림 SPF50+ PA+++ 60ml,닥터올가,28500,25,107,98,298,C_potential
3163057,바이탈 비타 12 보송 선스틱,토니모리,14400,20,144,96,300,C_potential
5877916,워터프루프 서핑 선스틱 20g SPF50+ PA++++,부쉬맨,18500,26,65,98,301,C_potential
2599950,아쿠아티카 스틱 썬스크린 100 19g,셀퓨전씨,15000,40,241,96,302,C_potential
2410719,레드 블레미쉬 수딩 업 선 50mL,닥터지,16900,42,215,98,311,C_potential
5877687,워터프루프 프로 선크림 50ml SPF50+ PA++++,부쉬맨,15000,40,206,98,316,C_potential
3198642,맑은 어성초 진정 쿨링 선스틱 19g,구달,19800,10,167,96,317,C_potential
3901599,어니언 프레쉬 플루이드 선크림 50ml,이즈앤트리,19200,20,217,98,321,C_potential
4236093,선 스킨 플러스 크림,엠도씨,33300,10,13,94,327,B_oliveyoung_cross
4165503,UV쉴드 선 앰플 40ml,아이오페,34000,15,18,96,328,B_oliveyoung_cross
4080474,마몽드 카밍 샷 아줄렌 선크림 SPF50+PA++++ 35ml,마몽드,13000,19,86,96,329,C_potential
1892727,유브이 디펜스 미 카밍 선크림 기획세트 50ml+20ml,메이크프렘,20500,15,166,96,338,C_potential
3422873,오 캄 UV  선 세럼 40ml,이퀄리브,28900,15,53,98,339,C_potential
2203949,썬 모이스처라이저 50ml  SPF50+ PA+++,나인위시스,15400,30,42,94,340,B_oliveyoung_cross
5877757,씨프렌들리 브론즈 태닝오일 190ml SPF7,부쉬맨,24900,17,94,98,341,C_potential
5282319,"옴므 UV 디펜스 선크림 30ml (+UV 디펜스 선크림 5ml, 젤 PRO 5ml)",비오템,64800,10,17,98,346,B_oliveyoung_cross
4983968,시카티 카밍 아쿠아 선크림 50g,듀댑,20700,10,53,98,348,C_potential
5866849,맥스 워터풀 선크림,오브제,21900,30,31,100,350,B_oliveyoung_cross
2664760,올 데이 에어리 선크림 SPF50+ PA++++,클레어스,17500,10,354,96,355,C_potential
5091217,히알루론산 히알큐브 에센스 선크림 SPF50+ PA++++ 50ml(+수분크림 30ml 증정),디퍼,22100,15,52,100,358,C_potential
