layer,발림성_score,끈적임_score,자극_score
A_top50,3.3423414077493647,3.229368743192074,3.2804087348928888
B_oliveyoung_cross,3.150336574420344,3.1114435302916976,3.1286462228870606
C_potential,3.229296796292565,3.1700584323997583,3.199879105379811
